Year,City,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Rent €/mo vs. sales price k€ per m2
2017,Lahti,3,11.28,2043,1868,470,6.0385438972162735
2017,Kotka,1,13.67,1987,1288,137,10.61335403726708
2017,Kotka,2,10.77,1402,1169,253,9.213002566295978
2017,Kotka,3,9.8,486,1279,138,7.66223612197029
2017,Kouvola,1,12.55,2293,1073,133,11.696178937558248
2017,Kouvola,2,10.03,1941,1105,265,9.076923076923077
2017,Kouvola,3,9.24,663,1132,154,8.162544169611309
2017,Lappeenranta,1,15.98,1735,2081,135,7.679000480538203
2017,Lappeenranta,2,12.62,1672,1854,272,6.80690399137001
2017,Lappeenranta,3,11.14,581,1833,154,6.07746863066012
2017,Mikkeli,1,15.36,1398,2072,111,7.4131274131274125
2017,Mikkeli,2,11.32,942,1914,230,5.914315569487983
2017,Mikkeli,3,10.32,260,1710,132,6.035087719298246
2017,Kuopio,1,16.79,5413,2653,166,6.328684508104033
2017,Kuopio,2,13.04,5412,2081,565,6.266218164344065
2017,Kuopio,3,11.64,1707,1947,346,5.978428351309708
2017,Joensuu,1,15.91,3696,2628,124,6.054033485540335
2017,Joensuu,2,11.37,2403,2099,224,5.4168651738923295
2017,Joensuu,3,9.86,529,1915,136,5.148825065274151
2017,Jyväskylä,1,16.63,6945,2596,385,6.406009244992295
2017,Jyväskylä,2,12.57,8317,2105,729,5.971496437054632
2017,Jyväskylä,3,11.33,2846,1961,445,5.77766445690974
2017,Seinäjoki,1,14.27,1581,2420,75,5.896694214876033
2017,Seinäjoki,2,10.91,1853,2064,177,5.285852713178294
2017,Seinäjoki,3,10.11,698,1737,130,5.820379965457685
2017,Vaasa,1,15.11,2180,2496,183,6.053685897435897
2017,Vaasa,2,10.83,1561,2046,355,5.293255131964809
2017,Vaasa,3,9.52,482,1960,247,4.857142857142857
2017,Oulu,1,15.22,10096,2377,354,6.403029028186791
2017,Oulu,2,11.67,9208,1956,800,5.966257668711656
2017,Oulu,3,10.71,3287,1901,643,5.6338769068911105
2017,Rovaniemi,1,15.54,2343,1891,122,8.217874140666314
2017,Rovaniemi,2,11.85,2072,1775,297,6.676056338028168
2017,Rovaniemi,3,10.59,853,1640,176,6.4573170731707314
2018,Helsinki,1,24.76,37988,6196,2289,3.9961265332472564
2018,Helsinki,2,18.83,32358,5014,3823,3.755484642999601
2018,Helsinki,3,16.82,16460,4737,3389,3.550770529871227
2018,Espoo-Kauniainen,1,21.13,7950,4266,298,4.953117674636662
2018,Espoo-Kauniainen,2,16.74,13590,3682,1060,4.5464421510048885
2018,Espoo-Kauniainen,3,15.0,8173,3350,1141,4.477611940298508
2018,Vantaa,1,20.75,8025,3398,307,6.106533254855798
2018,Vantaa,2,16.36,16646,2735,1042,5.9817184643510055
2018,Vantaa,3,14.88,9571,2360,813,6.305084745762712
2018,Porvoo,1,17.38,1059,3106,97,5.595621377978107
2018,Porvoo,2,13.02,1021,2492,162,5.224719101123596
2018,Porvoo,3,11.91,363,2518,123,4.729944400317713
2018,Turku,1,16.37,14853,3276,499,4.996947496947497
2018,Turku,2,12.83,12792,2416,1242,5.310430463576159
2018,Turku,3,11.01,4138,2081,1031,5.290725612686209
2018,Pori,1,13.63,3101,1782,180,7.648709315375982
2018,Pori,2,10.38,3156,1400,306,7.4142857142857155
2018,Pori,3,9.45,837,1488,203,6.350806451612903
