Year,City,Rooms,Rent per m2,Rental apartment count
2017,Oulu,2,11.67,9208
2017,Oulu,3,10.71,3287
2017,Rovaniemi,1,15.54,2343
2017,Rovaniemi,2,11.85,2072
2017,Rovaniemi,3,10.59,853
2018,Helsinki,1,24.76,37988
2018,Helsinki,2,18.83,32358
2018,Helsinki,3,16.82,16460
2018,Espoo-Kauniainen,1,21.13,7950
2018,Espoo-Kauniainen,2,16.74,13590
2018,Espoo-Kauniainen,3,15.0,8173
2018,Vantaa,1,20.75,8025
2018,Vantaa,2,16.36,16646
2018,Vantaa,3,14.88,9571
2018,Porvoo,1,17.38,1059
2018,Porvoo,2,13.02,1021
2018,Porvoo,3,11.91,363
2018,Turku,1,16.37,14853
2018,Turku,2,12.83,12792
2018,Turku,3,11.01,4138
2018,Pori,1,13.63,3101
2018,Pori,2,10.38,3156
2018,Pori,3,9.45,837
2018,Hämeenlinna,1,18.12,1967
2018,Hämeenlinna,2,13.32,2523
2018,Hämeenlinna,3,11.71,855
2018,Tampere,1,17.68,20627
2018,Tampere,2,13.59,18017
2018,Tampere,3,12.18,5839
2018,Lahti,1,16.01,6498
2018,Lahti,2,12.68,7765
2018,Lahti,3,11.14,2413
2018,Kotka,1,13.7,2126
2018,Kotka,2,10.76,1631
2018,Kotka,3,9.69,532
2018,Kouvola,1,12.7,2367
2018,Kouvola,2,10.23,2144
2018,Kouvola,3,9.25,753
2018,Lappeenranta,1,15.86,2145
2018,Lappeenranta,2,12.65,2006
2018,Lappeenranta,3,11.24,662
2018,Mikkeli,1,15.73,1623
2018,Mikkeli,2,11.76,1176
2018,Mikkeli,3,10.42,321
2018,Kuopio,1,17.11,6181
2018,Kuopio,2,13.61,6567
2018,Kuopio,3,11.9,1855
2018,Joensuu,1,16.02,4345
2018,Joensuu,2,12.63,2954
2018,Joensuu,3,10.4,575
2018,Jyväskylä,1,16.92,8143
2018,Jyväskylä,2,13.25,9954
2018,Jyväskylä,3,11.57,3289
2018,Seinäjoki,1,14.48,1734
2018,Seinäjoki,2,11.39,2261
2018,Seinäjoki,3,10.35,831
2018,Vaasa,1,15.43,2876
2018,Vaasa,2,11.79,2230
2018,Vaasa,3,9.87,618
2018,Oulu,1,15.49,11572
2018,Oulu,2,12.12,11059
2018,Oulu,3,10.85,3856
2018,Rovaniemi,1,15.81,2935
2018,Rovaniemi,2,12.49,2860
2018,Rovaniemi,3,10.8,1051
2019,Helsinki,1,25.4,39629
2019,Helsinki,2,19.21,33078
2019,Helsinki,3,17.23,17271
2019,Espoo-Kauniainen,1,21.81,8597
2019,Espoo-Kauniainen,2,17.16,14180
2019,Espoo-Kauniainen,3,15.35,8910
2019,Vantaa,1,21.49,8702
2019,Vantaa,2,16.71,17562
2019,Vantaa,3,15.29,10246
2019,Porvoo,1,17.61,1052
2019,Porvoo,2,13.15,944
2019,Porvoo,3,11.96,358
2019,Turku,1,16.84,15362
2019,Turku,2,13.14,13175
2019,Turku,3,11.27,4241
2019,Pori,1,13.61,3021
2019,Pori,2,10.38,3098
2019,Pori,3,9.44,730
2019,Hämeenlinna,1,18.98,2563
2019,Hämeenlinna,2,13.57,2995
2019,Hämeenlinna,3,11.9,981
2019,Tampere,1,18.08,21459
2019,Tampere,2,13.87,17901
2019,Tampere,3,12.47,5827
2019,Lahti,1,16.17,6483
2019,Lahti,2,12.81,7837
2019,Lahti,3,11.33,2370
2019,Kotka,1,13.84,2132
2019,Kotka,2,11.03,1530
2019,Kotka,3,10.05,462
2019,Kouvola,1,12.92,2356
2019,Kouvola,2,10.3,2023
2019,Kouvola,3,9.24,716
2019,Lappeenranta,1,16.1,2270
2019,Lappeenranta,2,12.83,1975
2019,Lappeenranta,3,11.41,652
2019,Mikkeli,1,15.91,1681
2019,Mikkeli,2,11.82,1138
2019,Mikkeli,3,10.48,295
2019,Kuopio,1,17.51,6340
2019,Kuopio,2,13.79,6592
2019,Kuopio,3,12.04,1810
2019,Joensuu,1,16.17,4578
2019,Joensuu,2,12.68,2998
2019,Joensuu,3,10.36,525
2019,Jyväskylä,1,17.48,8601
2019,Jyväskylä,2,13.41,10366
2019,Jyväskylä,3,11.72,3460
2019,Seinäjoki,1,14.66,1873
2019,Seinäjoki,2,11.35,2173
2019,Seinäjoki,3,10.31,762
2019,Vaasa,1,15.6,2880
2019,Vaasa,2,11.82,2156
2019,Vaasa,3,9.7,550
2019,Oulu,1,15.88,11894
2019,Oulu,2,12.29,11122
2019,Oulu,3,11.06,3768
2019,Rovaniemi,1,16.18,2864
2019,Rovaniemi,2,12.7,2711
2019,Rovaniemi,3,11.01,944
2020,Helsinki,1,26.33,40419
2020,Helsinki,2,19.98,33846
2020,Helsinki,3,18.04,17180
2020,Espoo-Kauniainen,1,22.67,9116
2020,Espoo-Kauniainen,2,18.02,14328
2020,Espoo-Kauniainen,3,16.13,8942
2020,Vantaa,1,22.53,9179
2020,Vantaa,2,17.41,18132
2020,Vantaa,3,15.88,10924
2020,Porvoo,1,18.17,988
2020,Porvoo,2,13.58,825
2020,Porvoo,3,12.6,285
2020,Turku,1,17.54,15248
2020,Turku,2,13.64,13036
2020,Turku,3,11.57,4219
2020,Pori,1,13.7,2896
2020,Pori,2,10.72,2808
2020,Pori,3,9.51,631
2020,Hämeenlinna,1,17.64,2664
2020,Hämeenlinna,2,13.29,3077
2020,Hämeenlinna,3,11.88,1021
2020,Tampere,1,18.67,21643
2020,Tampere,2,14.29,17682
2020,Tampere,3,12.92,5929
2020,Lahti,1,16.48,6167
2020,Lahti,2,13.04,7805
2020,Lahti,3,11.63,2302
2020,Kotka,1,14.19,2061
2020,Kotka,2,11.93,1478
2020,Kotka,3,10.89,480
2020,Kouvola,1,13.19,2266
2020,Kouvola,2,10.44,1825
2020,Kouvola,3,9.19,605
2020,Lappeenranta,1,16.7,2170
2020,Lappeenranta,2,13.14,2066
2020,Lappeenranta,3,11.49,579
2020,Mikkeli,1,16.02,1620
2020,Mikkeli,2,12.01,992
2020,Mikkeli,3,10.44,246
2020,Kuopio,1,17.88,6100
2020,Kuopio,2,14.09,6079
2020,Kuopio,3,12.19,1712
2020,Joensuu,1,16.76,4289
2020,Joensuu,2,13.0,2770
2020,Joensuu,3,10.93,461
2020,Jyväskylä,1,18.29,8294
2020,Jyväskylä,2,13.58,10095
2020,Jyväskylä,3,11.85,3446
2020,Seinäjoki,1,14.92,1798
2020,Seinäjoki,2,11.74,2064
2020,Seinäjoki,3,10.42,671
2020,Vaasa,1,15.73,2592
2020,Vaasa,2,12.06,1993
2020,Vaasa,3,10.0,450
2020,Oulu,1,16.45,11437
2020,Oulu,2,12.64,10596
2020,Oulu,3,11.38,3549
2020,Rovaniemi,1,16.54,2642
2020,Rovaniemi,2,13.05,2506
2020,Rovaniemi,3,11.36,759
2021,Helsinki,1,26.69,45934
2021,Helsinki,2,20.14,37045
2021,Helsinki,3,18.26,19121
2021,Espoo-Kauniainen,1,23.25,9698
2021,Espoo-Kauniainen,2,18.19,15555
2021,Espoo-Kauniainen,3,16.34,9439
2021,Vantaa,1,23.11,10314
2021,Vantaa,2,17.54,19698
2021,Vantaa,3,15.99,12084
2021,Porvoo,1,18.44,1117
2021,Porvoo,2,13.75,887
2021,Porvoo,3,12.81,278
2021,Turku,1,17.9,19294
2021,Turku,2,13.89,14848
2021,Turku,3,11.87,4635
2021,Pori,1,13.75,4036
2021,Pori,2,10.78,3814
2021,Pori,3,9.68,998
2021,Hämeenlinna,1,17.54,3252
2021,Hämeenlinna,2,13.38,3482
2021,Hämeenlinna,3,12.0,1103
2021,Tampere,1,19.12,23602
2021,Tampere,2,14.51,19311
2021,Tampere,3,13.02,6200
2021,Lahti,1,16.57,6376
2021,Lahti,2,13.12,8756
2021,Lahti,3,11.63,2685
2021,Kotka,1,14.16,2181
2021,Kotka,2,12.08,1817
2021,Kotka,3,10.75,476
2021,Kouvola,1,13.34,2592
2021,Kouvola,2,10.44,2121
2021,Kouvola,3,9.17,651
2021,Lappeenranta,1,17.08,3129
2021,Lappeenranta,2,13.24,2776
2021,Lappeenranta,3,11.35,779
2021,Mikkeli,1,16.12,1801
2021,Mikkeli,2,11.95,1338
2021,Mikkeli,3,10.36,292
2021,Kuopio,1,18.18,6686
2021,Kuopio,2,14.13,6779
