"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2011";"Lahti";"Vapaarahoitteinen";"3h+";9.35;623
"2011";"Lahti 1";"Vapaarahoitteinen";"1h";13.90;962
"2011";"Lahti 1";"Vapaarahoitteinen";"2h";11.23;818
"2011";"Lahti 1";"Vapaarahoitteinen";"3h+";9.60;314
"2011";"Lahti 2";"Vapaarahoitteinen";"1h";12.42;920
"2011";"Lahti 2";"Vapaarahoitteinen";"2h";10.16;909
"2011";"Lahti 2";"Vapaarahoitteinen";"3h+";9.06;309
"2011";"Hämeenlinna";"Vapaarahoitteinen";"1h";13.18;705
"2011";"Hämeenlinna";"Vapaarahoitteinen";"2h";10.83;697
"2011";"Hämeenlinna";"Vapaarahoitteinen";"3h+";9.04;264
"2011";"Hämeenlinna 1";"Vapaarahoitteinen";"1h";14.13;470
"2011";"Hämeenlinna 1";"Vapaarahoitteinen";"2h";11.52;417
"2011";"Hämeenlinna 1";"Vapaarahoitteinen";"3h+";8.97;102
"2011";"Hämeenlinna 2";"Vapaarahoitteinen";"1h";11.35;235
"2011";"Hämeenlinna 2";"Vapaarahoitteinen";"2h";9.85;280
"2011";"Hämeenlinna 2";"Vapaarahoitteinen";"3h+";9.10;162
"2011";"Kuopio";"Vapaarahoitteinen";"1h";13.81;1304
"2011";"Kuopio";"Vapaarahoitteinen";"2h";10.80;1557
"2011";"Kuopio";"Vapaarahoitteinen";"3h+";9.22;515
"2011";"Kuopio 1";"Vapaarahoitteinen";"1h";15.26;723
"2011";"Kuopio 1";"Vapaarahoitteinen";"2h";11.48;725
"2011";"Kuopio 1";"Vapaarahoitteinen";"3h+";10.02;179
"2011";"Kuopio 2";"Vapaarahoitteinen";"1h";11.97;526
"2011";"Kuopio 2";"Vapaarahoitteinen";"2h";10.44;749
"2011";"Kuopio 2";"Vapaarahoitteinen";"3h+";8.95;303
"2011";"Kuopio 3";"Vapaarahoitteinen";"1h";9.85;55
"2011";"Kuopio 3";"Vapaarahoitteinen";"2h";8.62;83
"2011";"Kuopio 3";"Vapaarahoitteinen";"3h+";7.39;33
"2011";"Jyväskylä";"Vapaarahoitteinen";"1h";14.21;1739
"2011";"Jyväskylä";"Vapaarahoitteinen";"2h";10.75;2219
"2011";"Jyväskylä";"Vapaarahoitteinen";"3h+";9.62;731
"2011";"Jyväskylä 1";"Vapaarahoitteinen";"1h";15.15;1099
"2011";"Jyväskylä 1";"Vapaarahoitteinen";"2h";11.17;1450
"2011";"Jyväskylä 1";"Vapaarahoitteinen";"3h+";10.27;394
"2011";"Jyväskylä 2";"Vapaarahoitteinen";"1h";12.26;640
"2011";"Jyväskylä 2";"Vapaarahoitteinen";"2h";10.02;769
"2011";"Jyväskylä 2";"Vapaarahoitteinen";"3h+";8.88;337
"2011";"Vaasa";"Vapaarahoitteinen";"1h";12.58;763
"2011";"Vaasa";"Vapaarahoitteinen";"2h";10.15;845
"2011";"Vaasa";"Vapaarahoitteinen";"3h+";8.51;389
"2011";"Vaasa 1";"Vapaarahoitteinen";"1h";13.12;577
"2011";"Vaasa 1";"Vapaarahoitteinen";"2h";10.49;622
"2011";"Vaasa 1";"Vapaarahoitteinen";"3h+";8.54;254
"2011";"Vaasa 2";"Vapaarahoitteinen";"1h";10.72;186
"2011";"Vaasa 2";"Vapaarahoitteinen";"2h";9.17;223
"2011";"Vaasa 2";"Vapaarahoitteinen";"3h+";8.45;135
"2011";"Seinäjoki";"Vapaarahoitteinen";"1h";11.84;535
"2011";"Seinäjoki";"Vapaarahoitteinen";"2h";9.91;735
"2011";"Seinäjoki";"Vapaarahoitteinen";"3h+";8.46;319
"2011";"Kokkola";"Vapaarahoitteinen";"1h";11.61;249
"2011";"Kokkola";"Vapaarahoitteinen";"2h";9.42;385
"2011";"Kokkola";"Vapaarahoitteinen";"3h+";7.95;244
"2011";"Mikkeli";"Vapaarahoitteinen";"1h";12.34;499
"2011";"Mikkeli";"Vapaarahoitteinen";"2h";9.97;506
"2011";"Mikkeli";"Vapaarahoitteinen";"3h+";8.63;194
"2011";"Mikkeli 1";"Vapaarahoitteinen";"1h";12.81;391
"2011";"Mikkeli 1";"Vapaarahoitteinen";"2h";10.24;393
