"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2011";"Lappeenranta 1";"Kerrostalo yksiöt";2250;98;.
"2011";"Lappeenranta 1";"Kerrostalo kaksiot";2264;201;.
"2011";"Lappeenranta 1";"Kerrostalo kolmiot+";2284;91;.
"2011";"Lappeenranta 2";"Kerrostalo yksiöt";1491;83;.
"2011";"Lappeenranta 2";"Kerrostalo kaksiot";1254;202;.
"2011";"Lappeenranta 2";"Kerrostalo kolmiot+";1228;140;.
"2011";"Etelä-Savo";"Kerrostalo yksiöt";1456;288;.
"2011";"Etelä-Savo";"Kerrostalo kaksiot";1427;577;.
"2011";"Etelä-Savo";"Kerrostalo kolmiot+";1436;352;.
"2011";"Mikkeli";"Kerrostalo yksiöt";1800;121;.
"2011";"Mikkeli";"Kerrostalo kaksiot";1686;262;.
"2011";"Mikkeli";"Kerrostalo kolmiot+";1635;200;.
"2011";"Pohjois-Savo";"Kerrostalo yksiöt";1842;422;.
"2011";"Pohjois-Savo";"Kerrostalo kaksiot";1677;1037;.
"2011";"Pohjois-Savo";"Kerrostalo kolmiot+";1780;686;.
"2011";"Kuopio";"Kerrostalo yksiöt";2353;248;.
"2011";"Kuopio";"Kerrostalo kaksiot";1983;724;.
"2011";"Kuopio";"Kerrostalo kolmiot+";1992;498;.
"2011";"Kuopio 1";"Kerrostalo yksiöt";2579;150;.
"2011";"Kuopio 1";"Kerrostalo kaksiot";2371;370;.
"2011";"Kuopio 1";"Kerrostalo kolmiot+";2428;229;.
"2011";"Kuopio 2";"Kerrostalo yksiöt";1972;98;.
"2011";"Kuopio 2";"Kerrostalo kaksiot";1589;354;.
"2011";"Kuopio 2";"Kerrostalo kolmiot+";1568;269;.
"2011";"Pohjois-Karjala";"Kerrostalo yksiöt";1993;254;.
"2011";"Pohjois-Karjala";"Kerrostalo kaksiot";1740;448;.
"2011";"Pohjois-Karjala";"Kerrostalo kolmiot+";1596;271;.
"2011";"Joensuu";"Kerrostalo yksiöt";2416;165;.
"2011";"Joensuu";"Kerrostalo kaksiot";2077;304;.
"2011";"Joensuu";"Kerrostalo kolmiot+";1854;221;.
"2011";"Joensuu 1";"Kerrostalo yksiöt";2559;121;.
"2011";"Joensuu 1";"Kerrostalo kaksiot";2239;215;.
"2011";"Joensuu 1";"Kerrostalo kolmiot+";1965;141;.
"2011";"Joensuu 2";"Kerrostalo yksiöt";1718;44;.
"2011";"Joensuu 2";"Kerrostalo kaksiot";1617;89;.
"2011";"Joensuu 2";"Kerrostalo kolmiot+";1469;80;.
"2011";"Keski-Suomi";"Kerrostalo yksiöt";1835;541;.
"2011";"Keski-Suomi";"Kerrostalo kaksiot";1616;1294;.
"2011";"Keski-Suomi";"Kerrostalo kolmiot+";1652;669;.
"2011";"Jyväskylä";"Kerrostalo yksiöt";2153;371;.
"2011";"Jyväskylä";"Kerrostalo kaksiot";1811;959;.
"2011";"Jyväskylä";"Kerrostalo kolmiot+";1818;472;.
"2011";"Jyväskylä 1";"Kerrostalo yksiöt";2599;186;.
"2011";"Jyväskylä 1";"Kerrostalo kaksiot";2317;500;.
"2011";"Jyväskylä 1";"Kerrostalo kolmiot+";2352;253;.
"2011";"Jyväskylä 2";"Kerrostalo yksiöt";1669;185;.
"2011";"Jyväskylä 2";"Kerrostalo kaksiot";1394;459;.
"2011";"Jyväskylä 2";"Kerrostalo kolmiot+";1417;219;.
"2011";"Etelä-Pohjanmaa";"Kerrostalo yksiöt";1580;77;.
"2011";"Etelä-Pohjanmaa";"Kerrostalo kaksiot";1504;254;.
"2011";"Etelä-Pohjanmaa";"Kerrostalo kolmiot+";1430;165;.
"2011";"Seinäjoki";"Kerrostalo yksiöt";1808;47;.
"2011";"Seinäjoki";"Kerrostalo kaksiot";1692;179;.
"2011";"Seinäjoki";"Kerrostalo kolmiot+";1580;126;.
"2011";"Pohjanmaa";"Kerrostalo yksiöt";1883;258;.
"2011";"Pohjanmaa";"Kerrostalo kaksiot";1682;566;.
"2011";"Pohjanmaa";"Kerrostalo kolmiot+";1673;449;.
"2011";"Vaasa";"Kerrostalo yksiöt";2111;187;.
"2011";"Vaasa";"Kerrostalo kaksiot";1925;414;.
"2011";"Vaasa";"Kerrostalo kolmiot+";1857;329;.
"2011";"Vaasa 1";"Kerrostalo yksiöt";2293;130;.
"2011";"Vaasa 1";"Kerrostalo kaksiot";2143;275;.
"2011";"Vaasa 1";"Kerrostalo kolmiot+";2075;203;.
"2011";"Vaasa 2";"Kerrostalo yksiöt";1439;57;.
"2011";"Vaasa 2";"Kerrostalo kaksiot";1285;139;.
"2011";"Vaasa 2";"Kerrostalo kolmiot+";1333;126;.
"2011";"Keski-Pohjanmaa";"Kerrostalo yksiöt";2010;69;.
"2011";"Keski-Pohjanmaa";"Kerrostalo kaksiot";1521;159;.
"2011";"Keski-Pohjanmaa";"Kerrostalo kolmiot+";1616;110;.
"2011";"Kokkola";"Kerrostalo yksiöt";2063;65;.
"2011";"Kokkola";"Kerrostalo kaksiot";1572;145;.
"2011";"Kokkola";"Kerrostalo kolmiot+";1641;101;.
"2011";"Pohjois-Pohjanmaa";"Kerrostalo yksiöt";1883;390;.
"2011";"Pohjois-Pohjanmaa";"Kerrostalo kaksiot";1654;1060;.
"2011";"Pohjois-Pohjanmaa";"Kerrostalo kolmiot+";1654;657;.
"2011";"Oulu";"Kerrostalo yksiöt";2020;302;.
"2011";"Oulu";"Kerrostalo kaksiot";1732;883;.
"2011";"Oulu";"Kerrostalo kolmiot+";1720;557;.
"2011";"Oulu 1";"Kerrostalo yksiöt";2339;152;.
"2011";"Oulu 1";"Kerrostalo kaksiot";2095;499;.
"2011";"Oulu 1";"Kerrostalo kolmiot+";2067;280;.
"2011";"Oulu 2";"Kerrostalo yksiöt";1672;150;.
"2011";"Oulu 2";"Kerrostalo kaksiot";1397;384;.
"2011";"Oulu 2";"Kerrostalo kolmiot+";1401;277;.
"2011";"Kainuu";"Kerrostalo yksiöt";1495;128;.
"2011";"Kainuu";"Kerrostalo kaksiot";1271;244;.
"2011";"Kainuu";"Kerrostalo kolmiot+";1240;182;.
"2011";"Kajaani";"Kerrostalo yksiöt";1583;91;.
"2011";"Kajaani";"Kerrostalo kaksiot";1280;175;.
"2011";"Kajaani";"Kerrostalo kolmiot+";1239;141;.
"2011";"Lappi";"Kerrostalo yksiöt";1603;232;.
"2011";"Lappi";"Kerrostalo kaksiot";1300;534;.
"2011";"Lappi";"Kerrostalo kolmiot+";1237;343;.
"2011";"Rovaniemi";"Kerrostalo yksiöt";1917;126;.
"2011";"Rovaniemi";"Kerrostalo kaksiot";1600;296;.
"2011";"Rovaniemi";"Kerrostalo kolmiot+";1506;192;.
"2012";"Koko maa";"Kerrostalo yksiöt";2874;10854;.
"2012";"Koko maa";"Kerrostalo kaksiot";2312;23576;.
"2012";"Koko maa";"Kerrostalo kolmiot+";2408;16635;.
"2012";"Pääkaupunkiseutu (PKS)";"Kerrostalo yksiöt";4709;3732;.
"2012";"Pääkaupunkiseutu (PKS)";"Kerrostalo kaksiot";3888;7059;.
"2012";"Pääkaupunkiseutu (PKS)";"Kerrostalo kolmiot+";3731;5939;.
"2012";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo yksiöt";1947;7122;.
"2012";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kaksiot";1712;16517;.
"2012";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kolmiot+";1696;10694;.
"2012";"Suuret kaupungit (yhteensä)";"Kerrostalo yksiöt";.;.;.
"2012";"Suuret kaupungit (yhteensä)";"Kerrostalo kaksiot";.;.;.
"2012";"Suuret kaupungit (yhteensä)";"Kerrostalo kolmiot+";.;.;.
"2012";"Koko maa ilman suuria kaupunkeja";"Kerrostalo yksiöt";.;.;.
"2012";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kaksiot";.;.;.
"2012";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kolmiot+";.;.;.
"2012";"Uusimaa";"Kerrostalo yksiöt";4418;4426;.
"2012";"Uusimaa";"Kerrostalo kaksiot";3563;8814;.
"2012";"Uusimaa";"Kerrostalo kolmiot+";3516;7049;.
"2012";"Helsinki";"Kerrostalo yksiöt";4914;2968;.
"2012";"Helsinki";"Kerrostalo kaksiot";4135;4836;.
"2012";"Helsinki";"Kerrostalo kolmiot+";4042;3766;.
"2012";"Helsinki 1";"Kerrostalo yksiöt";...;656;.
"2012";"Helsinki 1";"Kerrostalo kaksiot";5899;849;.
"2012";"Helsinki 1";"Kerrostalo kolmiot+";5842;713;.
"2012";"Helsinki 2";"Kerrostalo yksiöt";4846;1609;.
"2012";"Helsinki 2";"Kerrostalo kaksiot";4390;1972;.
"2012";"Helsinki 2";"Kerrostalo kolmiot+";4336;1286;.
"2012";"Helsinki 3";"Kerrostalo yksiöt";...;244;.
"2012";"Helsinki 3";"Kerrostalo kaksiot";3365;595;.
"2012";"Helsinki 3";"Kerrostalo kolmiot+";3192;504;.
"2012";"Helsinki 4";"Kerrostalo yksiöt";3579;459;.
"2012";"Helsinki 4";"Kerrostalo kaksiot";2749;1420;.
"2012";"Helsinki 4";"Kerrostalo kolmiot+";2371;1263;.
"2012";"Espoo-Kauniainen";"Kerrostalo yksiöt";3878;335;.
"2012";"Espoo-Kauniainen";"Kerrostalo kaksiot";3364;1114;.
"2012";"Espoo-Kauniainen";"Kerrostalo kolmiot+";3073;1228;.
"2012";"Espoo-Kauniainen 1";"Kerrostalo yksiöt";4548;62;.
"2012";"Espoo-Kauniainen 1";"Kerrostalo kaksiot";3962;223;.
"2012";"Espoo-Kauniainen 1";"Kerrostalo kolmiot+";3784;274;.
"2012";"Espoo-Kauniainen 2";"Kerrostalo yksiöt";4088;111;.
"2012";"Espoo-Kauniainen 2";"Kerrostalo kaksiot";3585;403;.
"2012";"Espoo-Kauniainen 2";"Kerrostalo kolmiot+";3215;395;.
"2012";"Espoo-Kauniainen 3";"Kerrostalo yksiöt";3298;162;.
"2012";"Espoo-Kauniainen 3";"Kerrostalo kaksiot";2815;488;.
"2012";"Espoo-Kauniainen 3";"Kerrostalo kolmiot+";2527;559;.
"2012";"Vantaa";"Kerrostalo yksiöt";3290;429;.
"2012";"Vantaa";"Kerrostalo kaksiot";2766;1109;.
"2012";"Vantaa";"Kerrostalo kolmiot+";2550;945;.
"2012";"Vantaa 1";"Kerrostalo yksiöt";3767;67;.
"2012";"Vantaa 1";"Kerrostalo kaksiot";3161;239;.
"2012";"Vantaa 1";"Kerrostalo kolmiot+";2948;228;.
"2012";"Vantaa 2";"Kerrostalo yksiöt";2876;362;.
"2012";"Vantaa 2";"Kerrostalo kaksiot";2362;870;.
"2012";"Vantaa 2";"Kerrostalo kolmiot+";2103;717;.
"2012";"Vantaa 3";"Kerrostalo yksiöt";.;.;.
"2012";"Vantaa 3";"Kerrostalo kaksiot";.;.;.
"2012";"Vantaa 3";"Kerrostalo kolmiot+";.;.;.
"2012";"Kehyskunnat";"Kerrostalo yksiöt";2304;513;.
"2012";"Kehyskunnat";"Kerrostalo kaksiot";2011;1317;.
"2012";"Kehyskunnat";"Kerrostalo kolmiot+";1968;862;.
"2012";"Porvoo";"Kerrostalo yksiöt";2929;73;.
"2012";"Porvoo";"Kerrostalo kaksiot";2431;189;.
"2012";"Porvoo";"Kerrostalo kolmiot+";2311;105;.
"2012";"Hyvinkää";"Kerrostalo yksiöt";1977;138;.
"2012";"Hyvinkää";"Kerrostalo kaksiot";1881;317;.
"2012";"Hyvinkää";"Kerrostalo kolmiot+";1797;199;.
"2012";"Järvenpää";"Kerrostalo yksiöt";2882;79;.
"2012";"Järvenpää";"Kerrostalo kaksiot";2211;188;.
"2012";"Järvenpää";"Kerrostalo kolmiot+";2275;104;.
"2012";"Kerava";"Kerrostalo yksiöt";2783;54;.
"2012";"Kerava";"Kerrostalo kaksiot";2383;221;.
"2012";"Kerava";"Kerrostalo kolmiot+";2226;148;.
"2012";"Varsinais-Suomi";"Kerrostalo yksiöt";2187;944;.
"2012";"Varsinais-Suomi";"Kerrostalo kaksiot";1821;2313;.
"2012";"Varsinais-Suomi";"Kerrostalo kolmiot+";1758;1566;.
"2012";"Turku";"Kerrostalo yksiöt";2495;578;.
"2012";"Turku";"Kerrostalo kaksiot";2035;1430;.
"2012";"Turku";"Kerrostalo kolmiot+";1899;1076;.
"2012";"Turku 1";"Kerrostalo yksiöt";2809;322;.
"2012";"Turku 1";"Kerrostalo kaksiot";2487;655;.
"2012";"Turku 1";"Kerrostalo kolmiot+";2483;365;.
"2012";"Turku 2";"Kerrostalo yksiöt";2318;75;.
"2012";"Turku 2";"Kerrostalo kaksiot";1935;204;.
"2012";"Turku 2";"Kerrostalo kolmiot+";1847;164;.
"2012";"Turku 3";"Kerrostalo yksiöt";1791;181;.
"2012";"Turku 3";"Kerrostalo kaksiot";1478;571;.
"2012";"Turku 3";"Kerrostalo kolmiot+";1361;547;.
"2012";"Satakunta";"Kerrostalo yksiöt";1574;359;.
"2012";"Satakunta";"Kerrostalo kaksiot";1314;910;.
"2012";"Satakunta";"Kerrostalo kolmiot+";1403;537;.
"2012";"Pori";"Kerrostalo yksiöt";1724;228;.
"2012";"Pori";"Kerrostalo kaksiot";1398;555;.
"2012";"Pori";"Kerrostalo kolmiot+";1496;316;.
"2012";"Pori 1";"Kerrostalo yksiöt";2044;116;.
"2012";"Pori 1";"Kerrostalo kaksiot";1789;239;.
"2012";"Pori 1";"Kerrostalo kolmiot+";1801;183;.
